format,team1,team2,toss_winner,match_winner,venue,date
T20,Surrey,Essex,Essex,Essex,"Kennington Oval, London",2025-07-06
T20,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,"Brisbane Cricket Ground, Woolloongabba",2019-01-10
T20,Netherlands,Ireland,Netherlands,Ireland,"VRA Ground, Amstelveen",2023-08-17
T20,South Korea,Philippines,Philippines,South Korea,Udayana Cricket Ground,2025-07-09
ODI,Australia,South Africa,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",2006-01-15
ODI,Sri Lanka,Australia,Australia,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2011-08-16
T20,Netherlands,Jersey,Jersey,No Result,"Sportpark Maarschalkerweerd, Utrecht",2023-08-25
T20,Badureliya Sports Club,Chilaw Marians Cricket Club,Chilaw Marians Cricket Club,Chilaw Marians Cricket Club,"P Sara Oval, Colombo",2024-05-17
ODI,New Zealand,South Africa,New Zealand,South Africa,Westpac Stadium,2012-02-25
MDM,Lancashire,Warwickshire,Warwickshire,Warwickshire,"Lord's, London",2021-09-28
T20,Barisal Bulls,Khulna Titans,Barisal Bulls,Khulna Titans,"Shere Bangla National Stadium, Mirpur",2016-11-25
T20,Northern Superchargers,Oval Invincibles,Oval Invincibles,Northern Superchargers,"Headingley, Leeds",2025-08-23
ODI,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,"Zahur Ahmed Chowdhury Stadium, Chattogram",2024-03-15
MDM,Lancashire,Surrey,Surrey,No Result,"Old Trafford, Manchester",2024-04-05
T20,New Zealand,Sri Lanka,Sri Lanka,New Zealand,"Bay Oval, Mount Maunganui",2024-12-30
T20,Malaysia,Nepal,Malaysia,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2024-04-12
T20,Ireland,Australia,Ireland,Australia,Providence Stadium,2018-11-11
T20,Nagaland,Arunachal Pradesh,Nagaland,Nagaland,Gokaraju Liala Gangaaraju ACA Cricket Ground,2021-11-08
MDM,Nottinghamshire,Durham,Nottinghamshire,Nottinghamshire,"Trent Bridge, Nottingham",2022-09-26
T20,Pakistan,England,England,England,Melbourne Cricket Ground,2022-11-13
IT20,Papua New Guinea,Samoa,Papua New Guinea,Papua New Guinea,Albert Park 2,2018-08-25
MDM,Gloucestershire,Worcestershire,Worcestershire,No Result,"County Ground, Bristol",2016-04-24
T20,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium,2019-04-06
T20,South Africa,Sri Lanka,Sri Lanka,Sri Lanka,M Chinnaswamy Stadium,2016-03-28
T20,Turkey,Greece,Turkey,Turkey,"Vassil Levski National Sports Academy, Sofia",2025-07-09
T20,Wellington,Canterbury,Canterbury,Canterbury,Basin Reserve,2021-01-25
T20,Kent,Gloucestershire,Kent,Kent,St Lawrence Ground,2014-05-30
ODI,West Indies,New Zealand,New Zealand,New Zealand,"Sir Vivian Richards Stadium, North Sound",2007-03-29
T20,Madhya Pradesh,Vidarbha,Vidarbha,Madhya Pradesh,Holkar Stadium,2021-01-15
T20,Islamabad United,Karachi Kings,Karachi Kings,Karachi Kings,Rawalpindi Cricket Stadium,2020-03-01
ODI,New Zealand,Pakistan,New Zealand,New Zealand,Pallekele International Cricket Stadium,2011-03-08
MDM,Gloucestershire,Kent,Gloucestershire,Gloucestershire,"St Lawrence Ground, Canterbury",2014-09-23
T20,Jozi Stars,Tshwane Spartans,Tshwane Spartans,Tshwane Spartans,"SuperSport Park, Centurion",2018-11-28
T20,Australia,Sri Lanka,Sri Lanka,Australia,North Sydney Oval,2019-09-30
T20,South Africa,Pakistan,Pakistan,Pakistan,SuperSport Park,2013-03-03
ODI,Australia,New Zealand,New Zealand,New Zealand,Melbourne Cricket Ground,2009-02-06
